COMPANYID,NewUpdatedCompanyRecords,id,company
COMPANYNAME,NewUpdatedCompanyRecords,name,company
COMPANYTYPE,NewUpdatedCompanyRecords,type,company
EMAIL,NewUpdatedCompanyRecords,email,company_sales_lead_client_contact
FAX,NewUpdatedCompanyRecords,fax,company_sales_lead_client_contact
PHONE,NewUpdatedCompanyRecords,phone,company_sales_lead_client_contact
URL,NewUpdatedCompanyRecords,website,company
ADDRESS1,CompanyDetail,address,company_address
Active,CompanyDetail,active,company
CITY,CompanyDetail,city,company_address
COMPANYNAME,CompanyDetail,name,company
COUNTRY,CompanyDetail,country,company_address
DATEENTERED,CompanyDetail,created_date,company
DATEUPDATED,CompanyDetail,last_modified_date,company
EMAIL,CompanyDetail,email,company
FAX,CompanyDetail,fax,company
ID,CompanyDetail,id,company
INDUSTRY,CompanyDetail,industry,company
PARENTCOMPANYID,CompanyDetail,id,company_sales_lead_client_contact
PARENTCOMPANYNAME,CompanyDetail,first_name,company_sales_lead_client_contact
